TIMESTAMP,COMMENTS,TOPIC,CLIENT,CLINIC,LABEL
Jun-22," Dr. Aponte was thorough and very personable. In addition, I was greeted with a smile and the receptionist/assistants were very efficient and professional. ",Services,State of New Jersey - (Horizon BCBS),West Orange Health Center,Positive
Jun-22, Everything Nothing,Engagement with Patient's,Steel Warehouse,City Of South Bend Clinic,Positive
Jun-22, The staff was friendly and responsive to my needs.  The PA was actively listening to my concerns and providing recommendations to help. Nothing!  All was fine!,Good doctor,Buckeye Advantage - Archbold,Archbold Clinic,Positive
Jun-22, Provider listened and addressed concerns. Provided patient education regarding medical conditions. I received lab results quickly with a detailed explanation so I understand the full meaning behind the results. ,Doctor listen the concerns,"UA Local 469 Arizona Pipe Trades - Phoenix, AZ",UA Local 469 Activate Health and Wellness Center - Gilbert,Neutral
Jun-22," Was very explanatory about what they could do for me and very friendly staff! They did everything right, I just felt bad since it was very busy for a small staff.",Good doctor,Plumbers & Steamfitters Local 440,HCH Muncie Clinic,Positive
Jun-22, All of my providers were amazing and I felt cared by as a Human. Not a thing.,Engagement with Patient's,Michelin - South Carolina,Michelin Family Health Center - Spartanburg,Positive
Jun-22, Everything went great and I got the meds needed. ,Engagement with Patient's,nan,TRIAD Health Centre,Positive
Jun-22, very attentive and thorough nothing,Doctor listen the concerns,nan,The Functional Health & Wellbeing Center at Phoenix Contact,Neutral
Jun-22," Fast, courteous team.  Dr Bean is a great doc, I have known him for years.  I feel fortunate to be under his care. ",Professionalism,SSM Health,SSM Health DirectCare Creve Coeur,Positive
Jun-22," Dr was very thorough and explained everything well, he asked pertinent questions of me  to get the best picture of what might be ailing me ",Engagement with Patient's,UA Local 25 Plumbers and Pipefitters,UA Local 25 Family Medical Center,Positive
Jun-22," the NP was very caring and attentive, compassionate and listened to ALL my health concerns, which were many.  She spent more than expected time with me. nothing i can think of",Services,Nexus Growth Solutions,Terre Haute Clinic,Positive
Jun-22, Dr. Peterson took the time to explain in detail what is causing my hip and knee pain and suggested I have an x-ray completed. ,Good doctor,State of Colorado,Northglenn Metro North Clinic,Positive
Jun-22, Polite staff knowledgeable nurse practitioner Everything was good,Engagement with Patient's,"Genesis Products, LLC",Elkhart County Clinic,Positive
Jun-22," Took me into the exam room asap. Dr. Beckles was so nice. Glad I have her as my new doctor. 
Glad to know the nurse Jasmin is there. She is very attentive. Nothing",Good doctor,State of New Jersey - (Horizon BCBS),Hamilton - Whitehorse Mercerville Road Health Center,Positive
Jun-22," Very polite, informative ",Doctor listen the concerns,nan,East Peoria Clinic,Neutral
Jun-22, I've seen many doctors over the years. I have never felt more comfortable than at Everside All we excellent,Blood work and vaccine,State of New Jersey - (Horizon BCBS),West Orange Health Center,Negative
Jun-22,"Convenient and easy to schedule, and quick appts  ",Good doctor,Lincoln Electric,Euclid Lincoln Electric Clinic,Positive
Jun-22,"Friendly, useful service. Everything ",Professionalism,Lincoln Electric,Mentor Great Lakes Plaza Clinic,Positive
Jun-22, I just love the staff and my PA ,Engagement with Patient's,Weld County Colorado,Weld County Employee Medical Center,Positive
Jun-22, Everything went well during my appointment.  Thank you! ,Good doctor,City Of Kalamazoo,City of Kalamazoo Clinic,Positive
Jun-22," very friendly, caring and knowlegable it a;; went well",Services,State of Colorado,Pueblo Fortino Boulevard Health Center,Positive
Jun-22, Listened well . Nothing !,Engagement with Patient's,Plumbers & Steamfitters Local 440,Local 440 Clinic,Positive
Jun-22, Dr Dawn is amazing! ,Concerns addressed,Buckeye Advantage - Archbold,Wauseon Clinic,Positive
Jun-22," Everything!  I came in with a concern about my wrist, and added an additional concern with my eyes and also needed a refill.  The staff handled everything expected and unexpected extremely well. ",Good doctor,Circle Proscoe,Unknown,Positive
Jun-22,"I had labs done 2 days ago, I was told they would call me yesterday. They did not. I tried to call today and had to leave a message. After no return call I called again and they are now closed. Guess I'll wait until Monday. I wasn't rushed and the Medical Assistant did a great job drawing my blood. Everything was fine during my appointment, it's the lack of follow up that I'm disappointed in.",Good doctor,Morgan County Government,Martinsville Schools Clinic,Positive
Jun-22," Got in quickly. I appreciate that. Dr. was attentive, helpful and friendly. ",Good doctor,Colorado Higher Education Insurance Benefits Alliance Trust - CHEIBA,DTC Centrum Healthcare Center Clinic,Positive
Jun-22, It was all great! Can’t think of anything,Concerns addressed,Michelin - South Carolina,Michelin Family Health Center - HNA,Positive
Jun-22, NP Heather is fantastic. Very caring and genuine about personal health and wellness of her patients. ,Services,Elkhart County Government,Elkhart County Clinic,Positive
Jun-22," Dr. Wills and staff were courteous and caring. I was confused by the sign on the front door. I was expecting the sign to be Paladina but it was changed. It was ok, I found the entrance.",Unskilled,State of Colorado,Denver 15th Street Clinic,Negative
Jun-22, I felt very well taken care of. Each person I had contact with were very professional and understanding. Nothing.,Engagement with Patient's,State of Colorado,Pueblo Fortino Boulevard Health Center,Positive
Jun-22,I really have not had extensive involvement so it's difficult to say yet whether I would recommend to others. Just being candid. My session started on time. The coach obviously was empowered to get off script and was able to provide me with support that I needed at that moment. So that was good. I really did not like anything regarding this session.,Blood work and vaccine,Michelin - South Carolina,Michelin Family Health Center - HNA,Negative
Jun-22," Everything was great.  I felt the covid protections were reasonable and appropriate.  The staff was welcoming and kind.  The doctor gave strong attention to my problems and history, and I felt involved in my care.  the plan going forward was very clear, and I appreciate being able to schedule a virtual follow up right away, ",Concerns addressed,State of New Jersey - (Horizon BCBS),New Brunswick Health Center,Positive
Jun-22, Listened and gave feedback on my concerns. Nothing,Doctor listen the concerns,Michelin - South Carolina,Michelin Family Health Center - HNA,Neutral
Jun-22,Easy to schedule. Lindsay listened I felt rushed.,Lab result and services,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Negative
Jun-22, Everything. Everyone is so friendly and helpful Nothing everything was great,Concerns addressed,Clark County Firefighters Local 1908,FirstResponse Family Care Center,Positive
Jun-22, Marisa always takes the time to explain exactly what is going on with the current situation. I always leave knowing she chose the best option for my care. ,Lab result and services,SCIST,Martinsville Schools Clinic,Negative
Jun-22,Unsure why after being there only 3 weeks prior had to refill out same paperwork again and have drivers license and insurance card copied again too.  ,Engagement with Patient's,Plumbers & Pipefitters Union Local 525,Collective Union Health - Buffalo Drive,Positive
Jun-22," Dr Bancroft is always thorough, courteous, and mindful at every visit. ",Good doctor,State of New Jersey - (Horizon BCBS),Hamilton - Whitehorse Mercerville Road Health Center,Positive
Jun-22,I like the technology they use  ,Good doctor,North Central Indiana School Insurance Trust,NW-EH Health & Wellness Center,Positive
Jun-22," From intake with Jessica through my appointment with Dr.Humphrey, my experience was professional. The doctor was thorough and observant. ",Doctor is hospitable,nan,The Functional Health & Wellbeing Center at OSS Health,Neutral
Jun-22," discuss my blood work and answered questions I had. I feel that all was done that needed, my questions were answered and I got very good feedback.",Services,nan,The Medwell Center,Positive
Jun-22," I appreciate that the staff got me right in, I mistakenly thought my appointment was the same day I made it but it was actually for a week later, but they were kind enough to fit me in for an appointment. all went well",Good doctor,nan,NW-EH Health & Wellness Center,Positive
Jun-22, in depth knowledge with analogies a non medical professional can get. ,Doctor is hospitable,State of Colorado,Northglenn Metro North Clinic,Neutral
Jun-22, Again Dr. Miller went above and beyond. She is caring and listens to me. She was considerate and tried to make me comfortable during a biopsy. When I was walking out I bled through my bandage and the nurse stopped me and cleaned me up. The nurses are also very caring and friendly. Overall I feel comfortable with the staff. They made a unpleasant thing into something pleasant. No problems,Services,South Bend Community Schools,South Bend Community Schools Clinic,Positive
Jun-22, Very courteous and understanding of my needs. Very eager to help. The doctor explained every step and offered options for treatment. Nothing.,Engagement with Patient's,nan,Cherry Hill Health Center,Positive
Jun-22, They are always very proffesional and kind. Everything was great.,Concerns addressed,Aisin - Illinois,Aisin Marion Illinois Health and Wellness Center,Positive
Jun-22, I was really impressed with this visit. Amber is excellent. She really listened to me and seems to have my best interests in mind. This was a great first visit. Couldn’t be happier. ,Good doctor,nan,Marion IN Clinic,Positive
Jun-22,I've been to many doctors in my life. Only a few seem to really care and take time to listen to your needs. On my visit here the staff seemed very caring and attentive to my concerns and needs The staff was great in explaining and listening to my needs. I didn't feel like I was rushed and felt like they really cared about me as a person not just a number. On this visit the staff did nothing wrong in my eyes.,Blood work and vaccine,nan,Station Casinos Medical Center - Red Rock,Negative
Jun-22,Dr was great. A little slow at front- were they training? Sat and waited for almost 15 min after appointment was over for meds with 2 ladies at the desk- one on the phone and one on her computer. Dr was great. Wait time for meds after appointment.,Blood work and vaccine,IBEW Local 212,Erlanger Clinic,Negative
Jun-22," Kattie is just amazing and I can’t say enough great things about her. She truly cares about me and my health, and my overall success as a person. Best provider, ever. NOTHING. I Love Kattie my provider, and Kim, the LPN.",Engagement with Patient's,City of Akron,Akron-White Pond Drive Clinic,Positive
Jun-22, Everyone was fantastic I had awesome visit at the clinic today everyone was nice and professional felt like I was cared for very well Nothing it was great,Professionalism,Nippon Steel Pipe America,Nippon Steel/Seymour Schools Clinic,Positive
Jun-22,The time the doctor and staff take to answer questions and me not feeling rushed. Answering questions and checking me in... -,Unskilled,MCSIG,Altais Monterey Ryan Ranch,Negative
Jun-22, Felt like the doc took time to listen to my concerns and gave me great alternatives along with my initial request. Nothing,Good doctor,Clark County Firefighters Local 1908,FirstResponse Family Care Center,Positive
Jun-22, Listened to me and gave me time to talk about my anxiety Nothing,Engagement with Patient's,Red Gold - Elwood,Red Gold Elwood Clinic,Positive
Jun-22, Robin was extremely detailed ,Doctor is hospitable,nan,Butler Clinic,Neutral
Jun-22, My doc has the best personality and listens to your concerns. I enjoy talking to her ,Engagement with Patient's,State of Colorado,Pueblo Fortino Boulevard Health Center,Positive
Jun-22, Every thing was done precisely well. ,Professionalism,State of New Jersey - (Horizon BCBS),Clifton Brighton Road Office,Positive
Jun-22,Level of care and service  ,Good doctor,State of New Jersey - (Horizon BCBS),New Brunswick Health Center,Positive
Jun-22, We're very pleasant and was in and out in a very decent amount of time. ,Concerns addressed,Utz Quality Foods,Red Gold Berne Clinic,Positive
Jun-22, Amber did a great job and due to the rise of Covid came out to my car.  It was very hot out and she was more than willing to do what needed to be done to make the appointment available! ,Good doctor,Northeast Indiana School Insurance Trust,Angola Clinic,Positive
Jun-22,Convenience.  ,Doctor listen the concerns,Red Gold - Elwood,Red Gold Elwood Clinic,Neutral
Jun-22, They are always very friendly ,Professionalism,GECOM,GECOM Clinic,Positive
Jun-22," Courteous, professional and communicated well ",Professionalism,Michelin - South Carolina,Michelin Family Health Center - Anderson,Positive
Jun-22," Friendly, thorough and professional.  File had been reviewed prior to arriving. ",Professionalism,Red Gold - Elwood,Red Gold Elwood Clinic,Positive
Jun-22, Spent the right amount of time with me.  Asked great questions to get answers.  Seemed to care.  Personal attention. ,Services,DaVita - Colorado,DTC Centrum Healthcare Center Clinic,Positive
Jun-22, Laurie Meyer and staff are kind and take the time to understand your needs. Absolutely nothing!,Engagement with Patient's,Buckeye Advantage - Napoleon,Napoleon Clinic,Positive
Jun-22, The appointment was thorough and the follow up later in the day was awesome ,Services,City Of Mishawaka,City Of Mishawaka Clinic,Positive
Jun-22, Staff n Doctor was always pleasant and nice to talk to ,Services,State of New Jersey - (Horizon BCBS),Hamilton - Whitehorse Mercerville Road Health Center,Positive
Jun-22, Everything from the scheduling to Check in to the procedure itself Nothing,Good doctor,nan,Teamsters Local 14 Family Wellness Center - Northwest,Positive
Jun-22, Diagnosed cold and flu symptoms Na,Concerns addressed,State of Colorado,Denver 15th Street Clinic,Positive
Jun-22, The friendliest and service was wonderful Everything was great,Concerns addressed,Michelin - South Carolina,Michelin Family Health Center - Anderson Satellite (Starr),Positive
Jun-22,"I had a phone appointment scheduled for 11:30 and no one called. I thought maybe the appointment was just running late, but I didn't receive a call the rest of the day.  The appointment was never fulfilled.",Blood work and vaccine,City Of Mishawaka,City Of Mishawaka Clinic,Negative
Jun-22, Rachel was great. The staff got me checked in quickly and we hit the ground running. I was only there for about 30 mins and we covered everything. ,Good doctor,Everside Health - Ohio,Local 212 Clinic,Positive
Jun-22, Erica listened to my problem and helped me address it. ,Engagement with Patient's,IBEW Local 357,Union Family Health Center - Downtown,Positive
Jun-22, Kourtney is a great physician very caring and it is my honor to call her my care provider Nothing,Services,Spangler Candy Company,Bryan Clinic,Positive
Jun-22,"I appreciated the time the Doctor spent with me and the effort everyone on the staff made to do things correctly and get it right. Everything was explained thoroughly and I liked his approach to my health care.  I've not found that with other physicians in the past 10 years. See previous comments. Appointment began about 40 minutes late.  Not a problem as my schedule was open but it clearly would have been if I'd had a tighter schedule.

There always seems to be a problem with the IT support the staff gets.  Computers are slow to load.  Information that they have entered previously is missing.  Even the location of my visit was incorrectly identified. These caregivers shouldn't have to constantly struggle with faulty IT. It must be very frustrating for them and wastes everyones time- theirs and mine.",Blood work and vaccine,SEBT,Red Gold Berne Clinic,Negative
Jun-22, Everyone was very helpful. The exam was performed well to help update my records after not being treated there for a couple of years while I lived out of state. ,Good doctor,DaVita - Colorado,Littleton Highline Professional Center Clinic,Positive
Jun-22," Everyone was helpful, kind and professional. ",Professionalism,State of New Jersey - (Horizon BCBS),Voorhees Health Center,Positive
Jun-22, Very friendly and courteous. The atmosphere was very nice. ,Professionalism,State of New Jersey - (Horizon BCBS),Hamilton - Whitehorse Mercerville Road Health Center,Positive
Jun-22, Easy to schedule and they even called to see if I could come in early. ,Good doctor,State of Colorado,Colorado Springs Wall Street Clinic,Positive
Jun-22, To go over blood work ,Doctor listen the concerns,BORMA,Napoleon Clinic,Neutral
Jun-22, Everything! ,Professionalism,Elkhart Community Schools,Elkhart Schools Clinic,Positive
Jun-22, Listen ,Doctor listen the concerns,nan,Teamsters Local 14 Family Wellness Center - Northwest,Neutral
Jun-22," My appointment was actually, appreciatively early after scheduling it last minute the morning of. The staff was all courteous. The receptionist was on her cell phone during my sign in process, but still mostly attentive.",Good doctor,Michelin - South Carolina,Michelin Family Health Center - Spartanburg,Positive
Jun-22, Good Good,Professionalism,Union County,Monroe Campus Park Clinic,Positive
Jun-22, Explaining everything Everything was good,Concerns addressed,"UA Local 469 Arizona Pipe Trades - Phoenix, AZ",UA Local 469 Activate Health and Wellness Center - Glendale,Positive
Jun-22,"Staff is friendly. With my insurance, very affordable. Everyone was friendly and concerned as to what my issue was. N/A.",Professionalism,Buckeye Advantage - Napoleon,Wauseon Clinic,Positive
Jun-22," Dr. Everett spent a great amount of time with me answering a number of questions about my most recent health episode, what happened and why, including newly prescribed medication, pricing of that mediation and frequency/duration that I will need to take it. ",Unskilled,State of Colorado,Aurora Cornerstar Plaza Clinic,Negative
Jun-22," I’ve seen a few providers and have worked with quite a bit amount of providers. Rachel is one of the best providers I have encountered. She is very knowledgeable and caring. She uses best practice as well meets the patients where they are at, all while making patients feel heard and well cares for. She is able to build trust as well. All of her patients are lucky to have her as a provider! Nothing",Services,"Plumbers, Pipefitters And MES Local 392",Local 212 Clinic,Positive
Jun-22," Everyone was very nice and helpful, especially my Doctor. Can’t think of anything.",Good doctor,Michelin - South Carolina,Michelin Family Health Center - Spartanburg,Positive
Jun-22," Nurse practitioner was very proffessional the associate was confused that i used a computer to sign onto the appointment rather then the ""ap""",Testing and Treatment,nan,Virtual Health Center - East,Negative
Jun-22,"The service is very good. I don’t feel like a patient, I am treated like a person. Dr Goreman listens and then discusses the best course of action. The staff were courteous, thorough, and thoughtful with their interactions with me during my appointment. I can’t find anything to report about this at this time.",Services,State of Colorado,Grand Junction Trailhead Clinic,Positive
Jun-22, Handled testing and everything great ,Good doctor,Akron Public Schools,Akron S. Main Health Center,Positive
Jun-22, Very friendly and prompt. ,Concerns addressed,Steel Warehouse,City Of South Bend Clinic,Positive
Jun-22," Dr. Watson was charming, knowledgeable, and non-judgemental. I needed this. It was a big step for me to talk about my mental health needs. I appreciated how supportive she was and she had real answers on how to work on being my best self. ",Good doctor,Akron Public Schools,Akron-White Pond Drive Clinic,Positive
Jun-22,If someone I know in the field of local 25 ask I definitely mention it. Out side I’ll tell them where I go but not sure if they can or cant Explained everything and answered questions Happy overall,Good doctor,UA Local 25 Plumbers and Pipefitters,UA Local 25 Family Medical Center,Positive
Jun-22," The staff is extremely friendly, efficient, and timely which made for an overall great experience ",Concerns addressed,Bemis Non-Bargained Group,Sheboygan Falls Plankview Office,Positive
Jun-22, Dr Handler knows my history and provides good info. I couldn’t make an appointment on line,Good doctor,State of New Jersey - (Horizon BCBS),Cherry Hill Health Center,Positive
Jun-22, The staff was very friendly and the Dr took her time with me. I didn’t feel rushed. ,Good doctor,Elkhart Community Schools,Elkhart Schools Clinic,Positive
Jun-22, Listening to my issues ,Appointment,State of Colorado,Pueblo Fortino Boulevard Health Center,Negative
Jun-22,Na  ,Doctor listen the concerns,MCSIG,Altais Salinas North Main Street,Neutral
Jun-22, Everything went great ,Engagement with Patient's,Michelin - Oklahoma,Michelin Family Health Center - Ardmore,Positive
Jun-22, Follow up for x-ray and bloodwork ,Doctor listen the concerns,IBEW Local 357,Union Family Health Center - Northwest,Neutral
Jun-22,"i like Dr Humphrey and also the availability to be seen focused care
discussion and plan made There were issues with my appt being cancelled and rescheduled and then rescheduled again and an error.  I believe the staff member that was addressing this is no longer with the organization",Good doctor,nan,The Functional Health & Wellbeing Center at OSS Health,Positive
Jun-22, Everything went well. I was very satisfied with my visit. ,Engagement with Patient's,State of New Jersey - (Horizon BCBS),Voorhees Health Center,Positive
Jun-22," Dr Sydney is awesome. I was able to avoid an ER visit because I was seen , diagnosed, and received meds right away.  This is how a medical program should work! Than you! ",Good doctor,nan,Teamsters Local 14 Family Wellness Center - Northwest,Positive
Jun-22, Dr. O'Grady is professional and thorough. She takes time to listen and offers help where needed. nothing,Good doctor,State of New Jersey - (Horizon BCBS),Clifton Brighton Road Office,Positive
Jun-22, Checked my hip for pain ,Engagement with Patient's,Akron Public Schools,North Canton Lauby Rd,Positive
Jun-22, Everything was professional and  well done All was good,Professionalism,nan,Cherry Hill Health Center,Positive
Jun-22, Both my nurse and NP took the time to understand how the injury happened and explained what to do if symptoms got worse since the extent of the injury wasn’t evident upon examination. ,Good doctor,Spangler Candy Company,Bryan Clinic,Positive
Jun-22, Kimi and Katie are both amazing and so caring ,Services,Everside Health - Ohio,Akron-White Pond Drive Clinic,Positive
Jun-22, I would just like to say when dr Geng left the practice I was very concerned but Dr Bancroft is wonderful. He takes his time and explain things clearly in a way you can understand. He is kind and patient. The staff is also wonderful. Efficient and professional. ,Concerns addressed,State of New Jersey - (Horizon BCBS),Hamilton - Whitehorse Mercerville Road Health Center,Positive
Jun-22,It’s convenient  ,Doctor listen the concerns,State of Colorado,Arvada City of Arvada Clinic,Neutral
Jun-22,I appreciate the team and personal interactions I always appreciate the service and thoroughness of the doctor and staff ,Good doctor,SEBT,Marion IN Clinic,Positive
Jun-22, Everything Nothing,Engagement with Patient's,State of New Jersey - (Horizon BCBS),Hamilton Quakerbridge Road Office,Positive
Jun-22,"Nice, convenient Diagnose kidney infection None",Professionalism,Major Tool And Machine,Major Tool Clinic,Positive
Jun-22, Everyone is always so nice. Dr. Everett spent the time to check in with me and addressed all of my concerns. It was also my first time doing blood work and the nurse did an awesome job keeping me at ease and distracted! Nothing. I love this clinic and the staff.,Good doctor,State of Colorado,Aurora Cornerstar Plaza Clinic,Positive
Jun-22,"As always, the service was good Service was great ",Concerns addressed,State of New Jersey - (Horizon BCBS),Voorhees Health Center,Positive
Jun-22," Everything was very well done, and the provider was very helpful Call was a few minutes after the scheduled time but was good",Concerns addressed,IUOE Local 513,SSM Health DirectCare St. Peters Health Center,Positive
Jun-22," Friendly, car side for testing, explained process wish there was an option to take a oral med for Covid like the monochonal ones I've heard on he radio to help reduce symptoms.",Good doctor,"UA Local 469 Arizona Pipe Trades - Phoenix, AZ",UA Local 469 Activate Health and Wellness Center - Glendale,Positive
Jun-22, Obtaining an order from another facility for a blood draw ,Doctor listen the concerns,Aisin - Illinois,Aisin Marion Illinois Health and Wellness Center,Neutral
Jun-22, Dr. Simon took plenty of time and gave me options for my next steps. She also offered to help me find out if my insurance would cover the specialist she recommended. She listened to all my concerns and addressed them adequately. I have no complaints or suggestions.,Good doctor,California's Valued Trust (CVT),Altais Salinas North Main Street,Positive
Jun-22, On time service - good discussion ,Engagement with Patient's,State of New Jersey - (Horizon BCBS),Cherry Hill Health Center,Positive
Jun-22, Heather took her time to explain my test results and gave some suggestions on how to improve my numbers I can't think of anything.,Good doctor,Elkhart County Government,Elkhart County Clinic,Positive
Jun-22, Listened ,Doctor listen the concerns,"Seven Counties Services, Inc.",Louisville Seven Counties Broadway Clinic,Neutral
Jun-22," Listened, provided feedback, and education. ",Doctor listen the concerns,"Seven Counties Services, Inc.",Louisville Seven Counties Broadway Clinic,Neutral
Jun-22, Dr was very concerned about the test and results . ,Doctor is hospitable,UA Local 25 Plumbers and Pipefitters,UA Local 25 Family Medical Center,Neutral
Jun-22,"1. I can’t really refer a friend since it’s only open to the county and 2. I’m becoming frustrated with some of the service.  I was referred out to have a scan on my thyroid which came back showing a nodule. I received results in my UC health app, but since I am not a doctor, I was waiting for mine to call me with clarification on what everything means. However, my doctor told me she didn’t know what the results meant and usually it says more. I’m someone who is wondering about an abnormality on a scan and worrying myself only for my doctor to call me and tell me she doesn’t know. The appointment was a waste of time in that regard. I learned no new information and had to mention that if she didn’t know what a scan meant, then couldn’t she ask?
It seems crazy to me that this wasn’t treated with a little more care after expressing my concern for cancer running in my family to my doctor, and frankly it left me full of doubt for this doctors office.",Blood work and vaccine,Weld County Colorado,Weld County Employee Medical Center,Negative
Jun-22, Listened to my concerns and gave helpful responses. ,Services,"Seven Counties Services, Inc.",Louisville Park Plaza Clinic,Positive
Jun-22," Staff very helpful, and move fast. ",Engagement with Patient's,nan,SSM Health DirectCare South County,Positive
Jun-22, Everything Nothing,Engagement with Patient's,City of Akron,Cuyahoga Falls Health Center,Positive
Jun-22," The staff was very nice, professional, helpful. Nothing",Professionalism,Midwest Operating Engineers Local 150,Davenport Clinic,Positive
Jun-22, Staff & Dr were very helpful & informative. Communicated well and  very patient.,Good doctor,IBEW Local 357,Union Family Health Center - Northwest,Positive
Jun-22, everything i just check off Staff was very heipful,Engagement with Patient's,Plumbers & Pipefitters Union Local 525,Collective Union Health - Buffalo Drive,Positive
Jun-22, The doctor was available on time. not applicable,Services,State of Colorado,Denver State Capitol Clinic,Positive
Jun-22," Staff is Super nice! Love Dr. Green, she takes her time and explains with apples everything I need to know. Nurse could not get blood on one of my arms, it was painful. Everything else was perfect! Love the Personal there.",Good doctor,Indiana Teamsters Health Benefits Fund,Teamsters 135 Clinic,Positive
Jun-22, Always so pleasant the office staff and Dr ,Engagement with Patient's,State of New Jersey - (Horizon BCBS),Hamilton Quakerbridge Road Office,Positive
Jun-22," Everything. The doctor was amazing and took the time to listen to me, hear what I was saying, and address each issue until I completely understood and was comfortable with each issue. Nothing",Good doctor,Indiana Teamsters Health Benefits Fund,HCH Muncie Clinic,Positive
Jun-22," Very nice, I was asked if I wanted water very pleasent ",Engagement with Patient's,State of Colorado,Denver State Capitol Clinic,Positive
Jun-22, Dr. Reimann is very kind and compassionate. I highly recommend her! ,Services,State of Colorado,Salida Clinic,Positive
Jun-22, Everything ,Professionalism,Clemens Food Group,Everside Health at Clemens Food Group,Positive
Jun-22," Staff was courteous and pleasant.
I did not feel rushed. ",Professionalism,Northeast Indiana School Insurance Trust,Angola Clinic,Positive
Jun-22, Everything. Nothing.,Professionalism,Michiana Electrical Workers Local 153,IBEW Local 153/UA Local 172 - South Bend,Positive
Jun-22, Time and attention was excellent. ,Services,State of Colorado,Denver Lowry Medical Plaza Clinic,Positive
Jun-22, Made me top priority as always when I'm there. Nothing,Professionalism,Buckeye Advantage - Napoleon,Archbold Clinic,Positive
Jun-22,"Provider availability does not reflect the same hours offered when my family joined the practice. Provided medications for my cold. I was not informed I had an appointment. I was only informed in would get a call back from the provider on call. The next day I called feeling worse than I did the previous day and Dr Smith asked my symptoms, went thru my dedication list due to a new EMR system. Sent antibiotics to pharmacy, end of call.",Testing and Treatment,State of New Jersey - (Horizon BCBS),Voorhees Health Center,Negative
Jun-22," The conversation, insight into my situation, and additional explanation. N/a",Doctor is hospitable,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Neutral
Jun-22, Everything from the staff to the facility! ,Good doctor,nan,East Peoria Clinic,Positive
Jun-22, Everything Nothing,Engagement with Patient's,City of Arvada,Arvada City of Arvada Clinic,Positive
Jun-22,Convenient Listened Eye testing machine. Don’t understand need to check for hernia for DOT physical,Testing and Treatment,Weld County Colorado,Weld County Employee Medical Center,Negative
Jun-22, Dr Curtis is the best! ,Good doctor,City of Arvada,Arvada City of Arvada Clinic,Positive
Jun-22," Quick Appointment Availability, Quick Visit, Dr. was Attentive ",Doctor listen the concerns,Union County,Monroe Campus Park Clinic,Neutral
Jun-22," appointment was quick, on time, and resolved my concerns ",Engagement with Patient's,nan,The Functional Health & Wellbeing Center at Phoenix Contact,Positive
Jun-22,Everyone there is very friendly and knowledgeable. Comfortable to talk to  ,Services,IBEW Local 212,Local 212 Clinic,Positive
Jun-22, My first virtual visit.  Worked out very well. ,Good doctor,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Jun-22, Answered all my questions and helped me with my concerns. ,Doctor listen the concerns,UCAR,Boulder Goose Creek Clinic,Neutral
Jun-22, Everyone was very pleasant asked if I needed water and they provided ,Engagement with Patient's,State of Colorado,Denver State Capitol Clinic,Positive
Jun-22, Felt taken care of and that my health was very important to them ,Engagement with Patient's,nan,The Functional Health & Wellbeing Center at Phoenix Contact,Positive
Jun-22," Listened to the problems I was having, searched out the problems and attended to them very efficiently. Absolutely nothing!!",Engagement with Patient's,Indiana Teamsters Health Benefits Fund,West Lafayette Kent Avenue Health Center,Positive
Jun-22," everything went well with the appointment the staff at Trailhead clinic couldn't answer questions concerning charges and billing.  (why would they ,their billing is done by an outside third party agent).  I had to make about five more calls after this to find out and miss an appointment this morning to answer such questions.",Good doctor,State of Colorado,Grand Junction Trailhead Clinic,Positive
Jun-22, Listen carefully to my questions Nothing,Engagement with Patient's,Union County,Monroe Campus Park Clinic,Positive
Jun-22," Dr. Aponte and staff were not only knowledgeable, polite, and caring but very thorough. ",Unskilled,State of New Jersey - (Horizon BCBS),West Orange Health Center,Negative
Jun-22,"Most of my friends aren’t in the consortium, so they can’t use it.  ",Good doctor,Buckeye Advantage - Bryan,Bryan Clinic,Positive
Jun-22, Very patient and good care ,Concerns addressed,nan,Teamsters Local 14 Family Wellness Center - Northwest,Positive
Jun-22, Dr. Perez-Steele was good. She told me what was wrong. ,Good doctor,State of New Jersey - (Horizon BCBS),New Brunswick Health Center,Positive
Jun-22," The Staff was very attentive and knowledgeable about our last appointment.  Soft-spoken, genuinely concerned for your well-being.  The greatest Staff ever!!!! I have no complaints about this Staff or facility.",Good doctor,State of New Jersey - (Horizon BCBS),West Orange Health Center,Positive
Jun-22,Very happy how R Health handles my concerns Overall experience was well ,Good doctor,State of New Jersey - (Horizon BCBS),Ewing Health Center,Positive
Jun-22," The doctor took the time to explain my test results and answer my questions. The entire appointment may have taken longer than expected, but that might have been my fault for asking so many questions.",Good doctor,Weld County Colorado,Weld County Employee Medical Center,Positive
Jun-22, I feel like I receive the right amount of care.  We don’t go overboard with tests but my issues get addressed. ,Testing and Treatment,State of Colorado,Aurora Cornerstar Plaza Clinic,Negative
Jun-22, Answered my questions and concerns. Took blood tests. Did everything expected.,Services,"UA Local 469 Arizona Pipe Trades - Phoenix, AZ",UA Local 469 Activate Health and Wellness Center - Union Hall Site,Positive
Jun-22," The staff was very courteous, informative, professional. For a doctor's visit it was truly a pleasant experience. Nothing.",Good doctor,Midwest Operating Engineers Local 150,Davenport Clinic,Positive
